Airfoil,CL,CD,CM,CL/CD
MARSKE XM-1D AIRFOIL (F14-3.0),[0.62384515],[0.00513208],[0.03497502],[121.55787947]
GOE 677 (= M 6) AIRFOIL,[0.65876898],[0.00542005],[-0.0079048],[121.54300524]
AG17,[0.79238955],[0.00652096],[-0.04968471],[121.51425138]
AG38,[0.90094463],[0.00742198],[-0.04600556],[121.38872426]
SG6051,[0.93436859],[0.00770172],[-0.08724187],[121.31949498]
NACA 2414,[0.8015781],[0.00661077],[-0.05120014],[121.25328222]
HOBIESMO1.DAT,[0.97593869],[0.00805249],[-0.09343974],[121.1971902]
HQ 2.0/12 AIRFOIL,[0.82055838],[0.00678261],[-0.05714118],[120.97972844]
AG54,[0.76292891],[0.00630721],[-0.04137724],[120.96143467]
NACA 747A415,[0.81577671],[0.006754],[-0.04017275],[120.78426908]
AG13,[0.77873083],[0.00645032],[-0.04549605],[120.72753134]
E212  (10.55%),[1.03105389],[0.00854255],[-0.11995938],[120.69630735]
NACA 2415,[0.80612793],[0.00668115],[-0.05152504],[120.65712847]
E231,[0.75163941],[0.00623316],[-0.03588706],[120.58721076]
NACA 2415,[0.80656707],[0.00668911],[-0.05188794],[120.57917581]
GOE 795 smoothed,[0.84093544],[0.00697698],[-0.06341447],[120.52994672]
E64  (8.45%),[1.00333927],[0.00833851],[-0.10833925],[120.32601776]
MA409 (original),[1.06336665],[0.00883783],[-0.09860031],[120.31990768]
EPPLER 331 AIRFOIL,[0.59699933],[0.00496666],[0.02923331],[120.20140855]
APEX 16,[0.98216631],[0.00817199],[-0.10609313],[120.18694545]
GOE 403 AIRFOIL,[0.9648318],[0.00803296],[-0.0869097],[120.10912079]
OAF095 AIRFOIL,[1.10262028],[0.00918734],[-0.13015509],[120.01518731]
GOE 600 AIRFOIL,[0.78569988],[0.00654678],[-0.05044863],[120.01311991]
GOE 795 AIRFOIL,[0.83674327],[0.00698268],[-0.062849],[119.83128786]
HAM-STD HS1-404 AIRFOIL,[0.93162741],[0.00777496],[-0.08652223],[119.82410655]
NACA 2412,[0.79650092],[0.0066506],[-0.05149679],[119.76372877]
Rhode St. Genese 30,[1.03110603],[0.00861698],[-0.06158469],[119.65982758]
SARATOV AIRFOIL,[1.34545914],[0.01124672],[-0.18266814],[119.63129315]
S7012 8.75%,[0.82591257],[0.0069107],[-0.05748845],[119.51222993]
AG53,[0.76438315],[0.00639622],[-0.04343975],[119.5054439]
NACA 65(4)-221,[0.77980694],[0.00652611],[-0.05461507],[119.49037443]
AG16,[0.78338332],[0.00655652],[-0.04902897],[119.48166274]
HQ 2.0/10 AIRFOIL,[0.82071236],[0.00687094],[-0.0583237],[119.44681951]
GOE 491 AIRFOIL,[0.82007331],[0.00687066],[-0.04450884],[119.35874679]
SD8000-089-88,[0.77462905],[0.00649036],[-0.04783661],[119.35070136]
USA 34 AIRFOIL,[1.05168518],[0.00881409],[-0.08409403],[119.31858533]
NACA 64(3)-418,[0.9355676],[0.00784533],[-0.08730264],[119.2515964]
EPPLER STE 87(-3)-914 AIRFOIL,[1.10874815],[0.00930251],[-0.14087053],[119.18806449]
NACA M6 AIRFOIL,[0.64161008],[0.00538555],[0.00105137],[119.13552509]
AG12,[0.76766484],[0.00645421],[-0.04352356],[118.94024016]
SD6060-104-88,[0.72047067],[0.00606289],[-0.03009528],[118.83278409]
MH 44  9.66%,[0.67667767],[0.00569444],[-0.01333741],[118.83137813]
AG52,[0.76475597],[0.0064362],[-0.0442995],[118.82094686]
NASA SC(2)-1010 AIRFOIL,[1.39299825],[0.01172441],[-0.14970175],[118.81180889]
FX 68-H-120,[0.70973793],[0.00598293],[-0.01563468],[118.62706947]
BOEING-VERTOL V23010-1.58 AIRFOIL,[0.67106994],[0.00565837],[-0.00598175],[118.59764817]
MH 64  8.59%,[0.66989932],[0.00564966],[-0.01407071],[118.57336002]
E374,[0.72674688],[0.00612945],[-0.03163425],[118.56646286]
FX 63-158 AIRFOIL,[1.24535873],[0.01052269],[-0.15524897],[118.3498782]
GOE 372 AIRFOIL,[0.96976223],[0.00819431],[-0.09330382],[118.34585223]
E224  (10.17%),[0.79122524],[0.00668841],[-0.05491688],[118.29794036]
E211  (10.96%),[0.96296293],[0.00814051],[-0.1019731],[118.29271435]
NASA/LANGLEY LS(1)-0413 (GA(W)-2) AIRFOIL,[1.08333997],[0.00915981],[-0.1205268],[118.27103459]
AH21 7% version (Andrew Hollom),[0.86867864],[0.00735278],[-0.07967514],[118.14284405]
NACA M12 AIRFOIL,[0.70568758],[0.00597853],[-0.02527179],[118.03696903]
NACA 23012  12%,[0.70726885],[0.0059953],[-0.01103571],[117.9704962]
PMC19 Smoothed,[0.65709493],[0.00557227],[0.00103723],[117.92236331]
GOE 590 AIRFOIL,[0.84951278],[0.00720444],[-0.048967],[117.91510539]
ONERA OA213 AIRFOIL,[0.76306028],[0.00647231],[-0.01007953],[117.89615215]
SIKORSKY SC1094 R8 AIRFOIL,[0.75500636],[0.00641574],[-0.02165233],[117.68040281]
Apex 16 (normalized using XFOIL date021206),[0.87358744],[0.00742346],[-0.07934478],[117.6793284]
SIKORSKY SC1012R8 AIRFOIL,[0.81753551],[0.00695006],[-0.028659],[117.62992288]
AG46ct  -02f rot.,[0.71738321],[0.00609953],[-0.02678651],[117.61280776]
FX 74-080,[1.08412714],[0.00922988],[-0.13100612],[117.45839033]
LOCKHEED C-141 BL958.89 AIRFOIL,[0.85839098],[0.00730955],[-0.06790815],[117.43416937]
SG6041,[0.80014416],[0.00681567],[-0.05283394],[117.39773499]
JX-GS-04,[0.68572009],[0.005841],[-0.01706529],[117.39768017]
GOE 738 AIRFOIL,[0.62395879],[0.00531956],[0.01118978],[117.29510008]
EPPLER 336 AIRFOIL,[0.60808074],[0.00518525],[0.02805861],[117.27127644]
JX-GS-06,[0.70166003],[0.00598504],[-0.02263123],[117.23563799]
EPPLER 407 AIRFOIL,[1.10280098],[0.0094131],[-0.15225835],[117.1560007]
USA 28 AIRFOIL,[0.81757977],[0.00698117],[-0.06327087],[117.11206122]
NACA 747A315,[0.72837743],[0.00622423],[-0.01937102],[117.02295153]
GOE 392 AIRFOIL,[1.05714549],[0.00904759],[-0.11707376],[116.84276422]
NASA/LANGLEY MS(1)-0313 AIRFOIL,[0.96963958],[0.00830176],[-0.08960991],[116.79933232]
WORTMANN FX 77-W-343 AIRFOIL,[1.26158476],[0.01080837],[-0.10908712],[116.72296127]
NACA 2418,[0.81424821],[0.00697901],[-0.05135596],[116.67107963]
RG-15 8.9%,[0.81283209],[0.006967],[-0.05933531],[116.66891858]
EPPLER 341 AIRFOIL,[0.61994304],[0.00531459],[0.02809605],[116.64917659]
NACA 64(1)-212 MOD A,[0.88843163],[0.00761748],[-0.05647884],[116.63068264]
MH 20  9.01%,[0.68712581],[0.00589177],[-0.01397644],[116.62473391]
S2048,[0.83328638],[0.0071515],[-0.0668215],[116.51905695]
USA 33 AIRFOIL,[0.88964073],[0.007637],[-0.03383179],[116.4908476]
HQ 2.0/8 AIRFOIL,[0.8162029],[0.00700911],[-0.05858138],[116.44885114]
SOMERS S102 AIRFOIL (BLUNT),[0.94279398],[0.00809725],[-0.09019281],[116.43382954]
MH 122  9.32%,[1.0329409],[0.00887646],[-0.12762188],[116.36857502]
NACA 2410,[0.79325548],[0.00682075],[-0.05210793],[116.30027908]
HQ 2.0/9 AIRFOIL,[0.81679949],[0.00702859],[-0.05812864],[116.21102161]
ARA-D 20% AIRFOIL,[0.99762441],[0.00858858],[-0.0503581],[116.15704052]
FX 38-153 AIRFOIL,[0.92546796],[0.00796931],[-0.09472752],[116.12894571]
HQ 2.1/9.5 AIRFOIL,[0.86735442],[0.00747363],[-0.07056181],[116.05523279]
GOE 11K AIRFOIL,[0.92130492],[0.00793968],[-0.0940166],[116.03806037]
NACA M12,[0.71730447],[0.00619061],[-0.02410662],[115.86966247]
BELL/WORTMANN FX 69-H-083 AIRFOIL,[0.73557515],[0.00635853],[-0.02852554],[115.68319506]
NACA 63-415 AIRFOIL,[0.92583311],[0.00801421],[-0.08509902],[115.52397451]
GOE 113 AIRFOIL,[0.8688375],[0.00752803],[-0.0640248],[115.41363876]
E221  (9.39%),[0.65856102],[0.00570663],[-0.00611045],[115.40270748]
NASA RC(5)-10 AIRFOIL,[0.67535947],[0.00585668],[-0.00502689],[115.31433361]
LOCKHEED L-188 TIP AIRFOIL,[0.87855597],[0.00762054],[-0.07816546],[115.28788916]
NACA 64(3)-618,[1.09562186],[0.00951077],[-0.12516927],[115.19796196]
GOE 510 AIRFOIL,[0.94509351],[0.00820792],[-0.07004126],[115.14403557]
AG04,[0.72834323],[0.00632573],[-0.03255465],[115.13987129]
FX 77-W-270,[1.17738914],[0.01023597],[-0.09970054],[115.02463265]
S2060 8%,[0.79846905],[0.0069509],[-0.05793023],[114.87279952]
REPUBLIC S-3 AIRFOIL,[0.6625925],[0.00577364],[-0.00215911],[114.76170895]
TsAGI 12% AIRFOIL,[0.59107993],[0.00515631],[0.01128308],[114.63226952]
HQ-2.0/9  9.0%   smoothed,[0.82226323],[0.00717711],[-0.05958267],[114.56742729]
FAUVEL 14% AIRFOIL,[0.56669729],[0.00494831],[0.04340212],[114.52335987]
UNIVERSITY OF ALBERTA UA 79-SF-187 AIRFOIL MAIN ELEMENT,[1.20454763],[0.01052538],[-0.73906381],[114.44222262]
MH 61  10.26%,[0.62134519],[0.00542957],[-0.00026747],[114.4371873]
GOE 492 AIRFOIL,[0.9267361],[0.00810014],[-0.09365571],[114.40984617]
BOEING-VERTOL VR-14 AIRFOIL,[0.6769825],[0.00591997],[-0.00905948],[114.3558025]
GOE 548 AIRFOIL,[0.78668119],[0.00688475],[-0.05876994],[114.26437552]
MH 43  8.5%,[0.71025034],[0.00621692],[-0.02601525],[114.24470805]
BOEING-VERTOL VR-13 AIRFOIL,[0.68911059],[0.0060327],[-0.0074076],[114.22918713]
SOMERS S102 AIRFOIL (SHARP),[0.91776038],[0.00804004],[-0.08388687],[114.14866943]
"SC(2)-0714 | Supercritical airfoil (coordinates from Raymer w/ one correction). These coordinates are actual model coordinates, not coordinates as designed. Ref: NASA TP-2890",[1.16269722],[0.01018838],[-0.14405884],[114.11988296]
LDS-2 AIRFOIL,[0.76890931],[0.00674105],[-0.04039078],[114.06372362]
NACA 63(3)-218,[0.76364487],[0.00669911],[-0.04579198],[113.99194412]
MH 46  11.39%,[0.58356173],[0.00512007],[0.01945305],[113.97529454]
USA 46 AIRFOIL,[0.81259658],[0.0071326],[-0.06024491],[113.92705914]
E180  (8.59%),[0.71649206],[0.00629169],[-0.02476174],[113.87915325]
MH 30  7.84%,[0.75595838],[0.00664214],[-0.0426027],[113.81253093]
NACA 2408,[0.78581635],[0.00691134],[-0.05189297],[113.69959994]
Bergey BW-3  (smoothed),[1.18240728],[0.0104026],[-0.14101755],[113.66464448]
S8055 (12%),[0.75139261],[0.00661132],[-0.03684747],[113.65251035]
AH21 9% version (Andrew Hollom),[0.81250201],[0.0071497],[-0.06556601],[113.64142986]
NASA SC(2)-0712 AIRFOIL,[1.12991837],[0.00994681],[-0.13231986],[113.59607826]
EPPLER 540 AIRFOIL,[0.78380059],[0.00690164],[-0.05658081],[113.56732032]
AG08,[0.73577877],[0.0064822],[-0.03511774],[113.50765028]
NACA 64(1)-212 MOD B,[0.77418667],[0.0068206],[-0.03516047],[113.50706628]
JX-GS-15,[0.7238668],[0.00638029],[-0.03274022],[113.4535082]
JX-GS-10,[0.70710691],[0.00623349],[-0.02606729],[113.43683151]
NASA RC(4)-10 AIRFOIL,[0.67239835],[0.00593073],[-0.00317043],[113.37531954]
GOE 704 AIRFOIL,[0.67204791],[0.00592911],[-0.00933519],[113.34727352]
BOEING-VERTOL VR-12 AIRFOIL,[0.69659693],[0.00615036],[-0.00581316],[113.26121045]
RAF 31 AIRFOIL,[0.76963996],[0.00680622],[-0.05223788],[113.07888228]
S2062 8%,[0.78252533],[0.00692469],[-0.0538762],[113.0051247]
BOEING BACXXX AIRFOIL,[0.74303587],[0.00657832],[-0.03841508],[112.95223247]
Glenn Martin 4,[1.11196537],[0.0098537],[-0.10714309],[112.84750305]
NASA SC(2)-0714 AIRFOIL,[1.16762018],[0.01034715],[-0.1452222],[112.84459177]
AS5045 (15%) | Ref: http://www.krnet.org/as504x/ [original link: http://amber.aae.uiuc.edu/~ashok/kr2/airfoils/tests/],[0.8326155],[0.00738],[-0.06155609],[112.82046268]
AS5046 (16%) | Ref: http://www.krnet.org/as504x/ [original link: http://amber.aae.uiuc.edu/~ashok/kr2/airfoils/tests/],[0.82914295],[0.00734987],[-0.05979839],[112.81051126]
DSMA-523A AIRFOIL,[0.98649063],[0.00874665],[-0.12325959],[112.78495973]
S6061 9%,[0.73573006],[0.00652429],[-0.03625895],[112.76776545]
NACA 64A410,[0.88539921],[0.00785482],[-0.08061616],[112.72050386]
NASA SC(2)-0710 AIRFOIL,[1.10063666],[0.00976561],[-0.12710537],[112.70534442]
RG 14 10% AIRFOIL,[0.73362921],[0.0065093],[-0.03592597],[112.70477927]
NACA 6-H-10 AIRFOIL,[0.6806638],[0.00604353],[0.00929387],[112.62690736]
RG 14 9.5% AIRFOIL,[0.73517707],[0.00652879],[-0.03644725],[112.60545424]
RG 14 9% AIRFOIL,[0.73693331],[0.00654515],[-0.03700188],[112.59229307]
ONERA OA212 AIRFOIL,[0.70693069],[0.00627939],[-0.01490721],[112.5794394]
AG46c -03f,[0.61024067],[0.00542111],[-0.02334473],[112.56750601]
IST-MT1-12,[1.39305061],[0.01238255],[-0.22304097],[112.50113633]
NACA 63-412 AIRFOIL,[0.9082736],[0.00807357],[-0.08311022],[112.4996245]
NASA/LANGLEY LS(1)-0417 (GA(W)-1) AIRFOIL,[1.10468316],[0.00982516],[-0.12430395],[112.43414377]
RAF 28 AIRFOIL,[0.75577682],[0.00672315],[-0.04367056],[112.41404927]
WHITCOMB INTEGRAL SUPERCRITICAL AIRFOIL,[1.02827268],[0.00914842],[-0.13242623],[112.39888931]
MH 121  8.76%,[0.97606085],[0.00868647],[-0.11650481],[112.36568233]
HQ 1.5/12 AIRFOIL,[0.75639419],[0.0067318],[-0.04314447],[112.36127559]
FX 80-080,[0.89015008],[0.00792431],[-0.08406853],[112.33157452]
GOE 601 AIRFOIL,[0.76726927],[0.00683363],[-0.04897066],[112.27835564]
NASA/LANGLEY MS(1)-0317 AIRFOIL,[0.99757142],[0.00889062],[-0.09496313],[112.20487026]
GOE 767 AIRFOIL,[0.63366612],[0.00564781],[0.00935674],[112.19672754]
MARSKE PIONEER IID TIP AIRFOIL (NACA 431012A*.833 HYBRID),[0.62803787],[0.00559834],[0.03250118],[112.18281844]
RAF 26 AIRFOIL,[0.81596046],[0.00727825],[-0.06561888],[112.10948357]
AG09,[0.72101066],[0.00643354],[-0.02894593],[112.07067021]
EH 1.5/9.0,[0.61534112],[0.00549149],[0.00242096],[112.05360395]
RG 14 AIRFOIL,[0.73747777],[0.00658324],[-0.03834684],[112.02344563]
WORTMANN FX 082-512 AIRFOIL,[1.2227564],[0.01091941],[-0.1911196],[111.9800817]
GOE 679 AIRFOIL,[0.86575704],[0.0077348],[-0.05574232],[111.93017804]
BTE-FK,[0.78671436],[0.0070353],[-0.05102098],[111.82383279]
EPPLER E853 AIRFOIL,[0.99442488],[0.00889292],[-0.11344932],[111.82204557]
NACA 65-410,[0.90755138],[0.0081229],[-0.08741137],[111.7275572]
GOE 673 AIRFOIL,[0.90464676],[0.00809989],[-0.08520029],[111.68623614]
LOCKHEED-GEORGIA SUPERCRITICAL AIRFOIL,[0.66142672],[0.00592591],[-0.00793109],[111.61610883]
GOE 115 (MVA MK.2) AIRFOIL,[0.93307835],[0.00836386],[-0.0896743],[111.56079202]
BOEING-VERTOL VR-11X AIRFOIL,[0.75755439],[0.00679095],[-0.02771936],[111.55349486]
AH 93-W-300,[1.04527541],[0.00937402],[-0.10205728],[111.5076579]
GOE 617 AIRFOIL,[0.6705346],[0.00601532],[-0.01201806],[111.47117336]
Coanda 3,[0.93051399],[0.0083492],[-0.06502297],[111.44952574]
GOE 7K AIRFOIL,[1.0018161],[0.00899404],[-0.11599202],[111.38666519]
GOE 512 AIRFOIL,[0.89123935],[0.00800134],[-0.04381935],[111.38627871]
EPPLER 326 AIRFOIL,[0.57627374],[0.00517746],[0.02928099],[111.30441607]
NACA 2421,[0.81169229],[0.00729285],[-0.04878011],[111.29980764]
RG 12A-1.8/9.0 AIRFOIL,[0.80574345],[0.00724386],[-0.05462509],[111.23118611]
S2055,[0.74974999],[0.00674049],[-0.04254646],[111.23072772]
AIRFOIL PROFILE12A 9.00%,[0.80573943],[0.00724398],[-0.05462231],[111.22877536]
GOE 6K AIRFOIL,[0.92994249],[0.00836627],[-0.09800058],[111.15382197]
BOEING VERTOL V(1.95)3009-1.25 AIRFOIL,[0.65805093],[0.00592249],[-0.00957784],[111.11053276]
BOEING 737 MIDSPAN AIRFOIL,[0.68432786],[0.0061602],[-0.01910083],[111.08850465]
Eiffel 371 (Monge),[0.75184455],[0.00676992],[-0.01714514],[111.05665078]
PT40,[0.90527196],[0.00816112],[-0.07155175],[110.92489835]
NASA/LANGLEY LS(1)-0421 AIRFOIL,[1.10011068],[0.00992154],[-0.12245512],[110.88100816]
RONCZ R1145MS AIRFOIL,[0.9729043],[0.00877718],[-0.08512945],[110.84479785]
DFVLR R-4 AIRFOIL,[1.00581519],[0.0090748],[-0.11856976],[110.8361165]
HAM-STD HS1-620 AIRFOIL,[1.09657129],[0.00989598],[-0.11881702],[110.80971895]
GOE 766 AIRFOIL,[0.61563433],[0.0055592],[0.0096845],[110.74145514]
EPPLER 635 AIRFOIL,[0.54648732],[0.00493967],[0.04895635],[110.63235769]
GIII BL450 AIRFOIL,[0.69313241],[0.00626796],[-0.00839543],[110.58345462]
SIKORSKY SC2110 AIRFOIL,[0.71810489],[0.00650807],[-0.01763578],[110.34072728]
Falcon,[0.65543098],[0.00594255],[-0.00765249],[110.29459436]
AS5048 (18%) | Ref: http://www.krnet.org/as504x/ [original link: http://amber.aae.uiuc.edu/~ashok/kr2/airfoils/tests/],[0.81557741],[0.0073954],[-0.05741957],[110.28164408]
S8052 (11.88%),[0.71872202],[0.00651889],[-0.02836086],[110.25223795]
AG47ct  -02f rot.,[0.67491715],[0.00612174],[-0.01915632],[110.24925776]
NASA SC(2)-0614 AIRFOIL,[1.0741607],[0.00974714],[-0.12370046],[110.20267605]
NASA SC(2)-0612 AIRFOIL,[1.04512405],[0.00948457],[-0.11769463],[110.19200114]
BW 05 02 09,[0.57053697],[0.0051784],[0.01982657],[110.17621734]
FX 83-W-227,[0.73695765],[0.00668914],[-0.04061089],[110.17222564]
GOE 481 AIRFOIL,[1.2206113],[0.01108724],[-0.157453],[110.09157377]
NACA 23015,[0.70893011],[0.0064436],[-0.00956741],[110.02087836]
Coanda 2,[0.99287659],[0.0090288],[-0.07335726],[109.96768808]
GOE 116 (MVA MK.3) AIRFOIL,[0.96149084],[0.00874462],[-0.09600801],[109.95227981]
MARSKE PIONEER IA AIRFOIL (NACA 23112/43012A HYBRID),[0.62695974],[0.00570411],[0.02893561],[109.91366533]
GOE 683 AIRFOIL,[0.62015782],[0.00564448],[0.01494513],[109.86973718]
EPPLER 541 AIRFOIL,[0.74983904],[0.00682529],[-0.04653089],[109.86183045]
B-29 TIP AIRFOIL,[0.6472654],[0.00589298],[-0.00356842],[109.83665174]
NLR-7223-43 AIRFOIL,[0.7612628],[0.00694579],[-0.04538473],[109.60057529]
GIII BL430 AIRFOIL,[0.68942432],[0.00629206],[-0.01170968],[109.57057036]
AG10,[0.71003757],[0.00648686],[-0.02644136],[109.45788064]
MH 106  13.07%,[0.55103517],[0.00503454],[0.01885614],[109.45087432]
S6062 8%,[0.72128537],[0.0065943],[-0.03425192],[109.38013489]
MARSKE MONARCH AIRFOIL (NACA 43012A),[0.64683085],[0.00591833],[0.03820245],[109.29279419]
NASA SC(2)-0610 AIRFOIL,[1.00581958],[0.00921426],[-0.10958784],[109.15901079]
NACA M7 AIRFOIL,[0.73003864],[0.00668978],[0.00370407],[109.12750519]
ONERA NACA CAMBRE AIRFOIL,[0.65537513],[0.0060068],[-0.00803129],[109.10554951]
BOEING 737 OUTBOARD AIRFOIL,[0.7217152],[0.00661535],[-0.02884147],[109.09712447]
EPPLER 625 AIRFOIL,[0.59299559],[0.00543922],[0.03249536],[109.02213774]
YS-930,[0.87915095],[0.00807086],[-0.09412284],[108.92906613]
HQ 1.5/11 AIRFOIL,[0.76100138],[0.00698701],[-0.04502763],[108.91660679]
MH 120  8.0%,[0.95981053],[0.00881951],[-0.11241418],[108.82805685]
NACA M11 AIRFOIL,[0.7103482],[0.00653509],[-0.02311741],[108.69750712]
RONCZ LOW DRAG FLYING WING AIRFOIL,[0.60748818],[0.00559139],[0.01149716],[108.64700646]
MH 108  11.98%,[0.54853072],[0.00505133],[0.02260077],[108.59142122]
DSMA-523B AIRFOIL,[1.14568437],[0.01055764],[-0.15282234],[108.5171192]
GOE 587 AIRFOIL,[0.75953725],[0.00700971],[-0.03626915],[108.35507274]
GOE 100 (SOPWITH) AIRFOIL,[0.92707344],[0.00855831],[-0.07536726],[108.32431545]
NACA 65(1)-412,[0.91120102],[0.00841368],[-0.08777611],[108.29999246]
SIKORSKY SC1095 AIRFOIL,[0.65308186],[0.006035],[-0.01470813],[108.21580337]
NACA 64(2)-415 [NACA 6a series from Theory of Wing Sections],[0.92193108],[0.00852484],[-0.08614915],[108.14639999]
NACA 64(2)-415,[0.92193306],[0.00852527],[-0.08615128],[108.1412516]
S2050 8.93%,[0.80204404],[0.00741992],[-0.05991438],[108.09342151]
HQ 1.5/10 AIRFOIL,[0.75273134],[0.00696715],[-0.04354403],[108.04010067]
USA 50 AIRFOIL,[0.80086656],[0.00741312],[-0.05542651],[108.03371274]
LOCKHEED C-141 BL761.11 AIRFOIL,[0.77841195],[0.00721146],[-0.05212119],[107.94097978]
GOE 55 AIRFOIL,[0.75517113],[0.00699881],[-0.02793591],[107.89998972]
EPPLER 485 AIRFOIL,[0.64547263],[0.00598226],[-0.0104083],[107.89774687]
EPPLER E852 AIRFOIL,[0.93316827],[0.00865418],[-0.10286521],[107.82856381]
BOEING 707 .99 SPAN AIRFOIL,[0.73542005],[0.00682091],[-0.03675756],[107.81846446]
RG 14A-1.4/7.0 AIRFOIL,[0.71926892],[0.00668162],[-0.03389579],[107.6488906]
MH 78  14.47%,[0.59779673],[0.00556076],[0.0420023],[107.50278914]
OAF117 AIRFOIL,[0.85508932],[0.00795648],[-0.05986777],[107.47079603]
RG-12,[0.74708341],[0.00695427],[-0.04379397],[107.42799835]
HQ 1.5/8 AIRFOIL,[0.73831862],[0.00687653],[-0.04091865],[107.36795656]
NYU/GRUMMAN K-1 AIRFOIL,[0.86398396],[0.00804695],[-0.08742055],[107.36793969]
CLARK YS AIRFOIL,[0.53876386],[0.00501801],[0.0359871],[107.3660316]
KC-135 BL351.6 AIRFOIL,[0.74941828],[0.006985],[-0.03487942],[107.28969275]
NACA 65(2)-415 a=0.5,[0.87312578],[0.00814675],[-0.06709141],[107.17479498]
MARSKE PIONEER IID ROOT AIRFOIL (NACA 431012A/24112 HYBRID),[0.60463425],[0.00564353],[0.03547724],[107.13767327]
HQ 1.5/9 AIRFOIL,[0.74739976],[0.0069765],[-0.04271956],[107.13101813]
OAF102 AIRFOIL,[1.05409885],[0.00984311],[-0.12385632],[107.09006945]
NASA SC(2)-0518 AIRFOIL,[1.0501717],[0.00980674],[-0.12183544],[107.08671806]
GIII BL387 AIRFOIL,[0.67839154],[0.00633702],[-0.01489018],[107.05209755]
GOE 599 AIRFOIL,[0.76401593],[0.00713709],[-0.05355011],[107.04868534]
SIKORSKY SSC-A09  AIRFOIL,[0.65851893],[0.00615178],[-0.01426445],[107.04530157]
NACA 65(3)-618,[1.07667622],[0.01006],[-0.1263547],[107.02544062]
HQ 1.5/8.5 AIRFOIL,[0.749681],[0.00701285],[-0.04423272],[106.90102222]
S6063 7.05%,[0.7067679],[0.00661207],[-0.03225303],[106.89048836]
NACA 11-H-09 AIRFOIL,[0.74380486],[0.006963],[-0.00037123],[106.82253167]
EPPLER E1212MOD AIRFOIL,[0.82364972],[0.00771183],[-0.04717961],[106.80335853]
RUTAN CANARD AIRFOIL,[0.80878141],[0.00757489],[-0.05449643],[106.77134316]
NASA/AMES A-01 AIRFOIL,[0.63063462],[0.00590756],[-0.00094595],[106.7503963]
B-29 ROOT AIRFOIL,[0.60109147],[0.00563397],[0.00385774],[106.69056933]
SIKORSKY SC1095R8 AIRFOIL,[0.64102008],[0.00601044],[-0.01430484],[106.65117008]
BOEING 707 .54 SPAN AIRFOIL,[0.75035488],[0.00704521],[-0.03527167],[106.50570228]
NACA M6,[0.57519592],[0.00540682],[0.01643771],[106.38335289]
MH 22  7.2%,[0.69402098],[0.00652475],[-0.0209853],[106.36747336]
GIII BL369 AIRFOIL,[0.67389807],[0.00634756],[-0.01555573],[106.1665216]
EPPLER 1214 AIRFOIL,[0.76328023],[0.00719107],[-0.02038565],[106.14285318]
HT23,[0.63252917],[0.0059613],[-0.00556403],[106.10597229]
NASA NLF(1)-0115,[0.79205579],[0.00749563],[-0.04942346],[105.66902401]
ONERA OA209 AIRFOIL,[0.69690786],[0.00660524],[-0.01476304],[105.50835694]
HQ 1.5/9 B AIRFOIL,[0.7566995],[0.00717346],[-0.04496155],[105.48604679]
D.G.A. 1138,[0.90121869],[0.0085469],[-0.05822807],[105.44389274]
EPPLER 502 AIRFOIL,[0.6601443],[0.006262],[-0.01881295],[105.42062371]
HT22,[0.63178392],[0.00599425],[-0.00651927],[105.39825709]
GOE 12K AIRFOIL,[0.96744162],[0.00918282],[-0.10628576],[105.35342776]
LOCKHEED C-141 BL610.61 AIRFOIL,[0.73865422],[0.00702262],[-0.04448059],[105.18208453]
GOE 571 AIRFOIL,[1.28465576],[0.01222589],[-0.11010851],[105.07670899]
GOE 511 AIRFOIL,[1.00517768],[0.00959609],[-0.05387233],[104.74866497]
GIII BL332 AIRFOIL,[0.66640432],[0.00636701],[-0.0162513],[104.66523451]
HQ 1.0/12 AIRFOIL,[0.68903615],[0.00658921],[-0.02869916],[104.57042417]
RAE(NPL) 5213 AIRFOIL,[0.80589311],[0.00771032],[-0.05597016],[104.52141536]
RAE 5214 AIRFOIL,[0.79949908],[0.00765106],[-0.05512828],[104.49522695]
RAE(NPL) 5212 AIRFOIL,[0.8190741],[0.00784315],[-0.0643984],[104.43173363]
GOE 388 AIRFOIL,[1.13731889],[0.01089532],[-0.1238822],[104.38597208]
LOCKHEED C-5A BL1256 AIRFOIL,[0.76454283],[0.00732662],[-0.04613381],[104.35131011]
EPPLER EC 86(-3)-914 AIRFOIL,[1.26134132],[0.01209071],[-0.18479682],[104.32316975]
DORNIER A-5 AIRFOIL,[0.85592036],[0.0082057],[-0.07964862],[104.30806094]
NACA 65(2)-415,[0.91451414],[0.00878922],[-0.08794435],[104.04950945]
EPPLER 1213 AIRFOIL,[0.74819496],[0.0071933],[-0.0190661],[104.01273153]
BOEING-VERTOL VR-15 AIRFOIL,[0.61503465],[0.00591361],[0.00275187],[104.00320085]
LOCKHEED C-5A BL758.6 AIRFOIL,[0.74966025],[0.00721054],[-0.05434815],[103.96722999]
CAST 10-2/DOA 2 AIRFOIL,[0.8199206],[0.00788941],[-0.06627037],[103.92674882]
NLR-1T AIRFOIL,[0.64988799],[0.00625493],[-0.01161656],[103.90015456]
PROPFAN CRUISE MISSILE WING AIRFOIL,[0.73002691],[0.00703449],[-0.044097],[103.77824749]
EPPLER 330 AIRFOIL,[0.49757984],[0.00479767],[0.05223078],[103.71270366]
NACA M10 AIRFOIL,[0.7048716],[0.00679777],[-0.02702029],[103.69162486]
