Airfoil,CL,CD,CM,CL/CD
EPPLER 431 AIRFOIL,[1.1460234],[0.00646057],[-0.13188354],[177.38735538]
GOE 124 (MVA H.4) AIRFOIL,[1.15081383],[0.00648994],[-0.11596822],[177.32284]
USA 98 AIRFOIL,[1.39682959],[0.00788268],[-0.19966504],[177.20247947]
Marsden,[1.94680428],[0.01098979],[-0.25635516],[177.14655771]
USA 35 A AIRFOIL,[1.29472218],[0.00731015],[-0.13687129],[177.11303358]
SPICA  11.73% smoothed,[1.05243145],[0.00594457],[-0.08807174],[177.04082964]
GOE 303 (FRIEDRICHSHAFEN G03) AIRFOIL,[1.19254847],[0.00674031],[-0.12465236],[176.92786389]
GOE 92 AIRFOIL,[1.08940402],[0.0061594],[-0.09126924],[176.86866018]
GOE 123 AIRFOIL,[1.12133189],[0.00634105],[-0.11483483],[176.83702572]
GOE 241 (MVA PR.1) AIRFOIL,[1.69614305],[0.00959404],[-0.23245256],[176.79126402]
GOE 379 AIRFOIL,[1.0682368],[0.00604931],[-0.09420064],[176.58828172]
GOE 502 AIRFOIL,[1.29931007],[0.00735896],[-0.16657894],[176.56171334]
GOE 562 AIRFOIL,[1.19398015],[0.00676934],[-0.11158869],[176.38063749]
GOE 336 (MVA H.44) AIRFOIL,[1.01404186],[0.00575644],[-0.07534039],[176.15781832]
FX 76-MP-160,[1.40504462],[0.00797661],[-0.19189358],[176.14567293]
GOE 412 AIRFOIL,[1.13156845],[0.00643106],[-0.12262726],[175.95366965]
SP4721LA,[1.35675043],[0.00771128],[-0.19303626],[175.9436339]
NACA M19 AIRFOIL,[0.93775864],[0.00533032],[-0.0531159],[175.92908773]
GOE 624 AIRFOIL,[1.11790743],[0.00635489],[-0.10453934],[175.91298812]
MH 150  23.89%,[1.4638178],[0.00832851],[-0.19692721],[175.75995544]
Rhode St. Genese 34,[1.27770183],[0.00727016],[-0.09123393],[175.74599092]
GOE 384 AIRFOIL,[1.27997592],[0.00728794],[-0.13168045],[175.62933103]
GOE 325 (PFALZ 54) AIRFOIL,[1.03702709],[0.00590511],[-0.0916021],[175.61520277]
WACO COOTIE AIRFOIL,[1.17478216],[0.00669618],[-0.11331093],[175.44069289]
KENNEDY AND MARSDEN AIRFOIL,[1.76416056],[0.01006191],[-0.25497444],[175.33062084]
GOE 155 (SSW D.1) AIRFOIL,[1.03489026],[0.00590357],[-0.0905387],[175.29900122]
