Airfoil,Alpha,CL,CD,CM,CL/CD
fx60157,15,[1.72112632],[0.0324343],[-0.0692183],[53.06501336]
drgnfly,-5,[0.01762615],[0.00768725],[-0.09600958],[2.29290698]
drgnfly,0,[0.59213873],[0.00623924],[-0.10285514],[94.90556124]
drgnfly,5,[1.17784444],[0.00543213],[-0.11559813],[216.8293006]
drgnfly,10,[1.7303308],[0.00730326],[-0.11744099],[236.92590536]
drgnfly,15,[1.46181772],[0.0702516],[-0.06771787],[20.80832038]
goe241,-5,[0.53478545],[0.00774243],[-0.22208218],[69.07206668]
goe241,0,[1.14539094],[0.00727354],[-0.23171274],[157.47368589]
goe241,5,[1.69614305],[0.00959404],[-0.23245256],[176.79126402]
goe241,10,[2.11690004],[0.01501514],[-0.21373765],[140.98433706]
goe241,15,[2.34465752],[0.03520421],[-0.18319681],[66.60161799]
clarkz,-5,[-0.1223921],[0.00650876],[-0.08888483],[-18.80419798]
clarkz,0,[0.44664818],[0.00603284],[-0.08843032],[74.03615492]
clarkz,5,[1.00634825],[0.00631859],[-0.08916579],[159.26773742]
clarkz,10,[1.49471073],[0.01098362],[-0.0783952],[136.08539596]
clarkz,15,[1.84521995],[0.02065947],[-0.0526509],[89.31592748]
naca632a015,-5,[-0.40033055],[0.00748437],[-0.01516517],[-53.48890173]
naca632a015,0,[0.12502166],[0.00469859],[-0.00962594],[26.60834583]
naca632a015,5,[0.66582587],[0.00645667],[-0.00743635],[103.12224454]
naca632a015,10,[1.17847005],[0.00983729],[-0.00355396],[119.79617473]
naca632a015,15,[1.53627539],[0.01893018],[0.01818275],[81.15480366]
goe598,-5,[-0.44387736],[0.00631364],[-0.02539438],[-70.30446257]
goe598,0,[0.113357],[0.00390911],[-0.02660896],[28.99819314]
goe598,5,[0.66004223],[0.00704956],[-0.02719686],[93.62884815]
goe598,10,[1.12973368],[0.02137742],[-0.01998328],[52.84704556]
goe598,15,[0.8402189],[0.20179766],[-0.08304224],[4.16367025]
n64215,-5,[-0.40116307],[0.00693919],[-0.03390045],[-57.81126451]
n64215,0,[0.18483107],[0.00428862],[-0.04199131],[43.09806143]
n64215,5,[0.74935082],[0.00788487],[-0.04615276],[95.03650839]
n64215,10,[1.28494703],[0.01204643],[-0.04719781],[106.666231]
n64215,15,[1.64346691],[0.02235453],[-0.02695678],[73.51830264]
as6093,-5,[0.00177856],[0.00607581],[-0.138],[0.29272728]
as6093,0,[0.57126611],[0.00496638],[-0.13444146],[115.02672304]
as6093,5,[1.11161972],[0.00853351],[-0.12963584],[130.26526341]
as6093,10,[1.62673921],[0.01432363],[-0.12119051],[113.57035285]
as6093,15,[1.95475772],[0.03292054],[-0.09195723],[59.37806153]
rg12,-5,[-0.31977273],[0.00598198],[-0.05225076],[-53.45597561]
rg12,0,[0.21233404],[0.00423363],[-0.04760102],[50.15418637]
rg12,5,[0.74708341],[0.00695427],[-0.04379397],[107.42799835]
rg12,10,[1.26086758],[0.01171971],[-0.03802198],[107.5852022]
rg12,15,[1.64418987],[0.02170799],[-0.01495179],[75.74121541]
sd7032,-5,[-0.10946244],[0.00664171],[-0.09377166],[-16.48106193]
sd7032,0,[0.45818844],[0.00520275],[-0.09493286],[88.0666348]
sd7032,5,[1.00965995],[0.00628402],[-0.09380261],[160.67098912]
sd7032,10,[1.50040828],[0.01362101],[-0.08584406],[110.1539854]
sd7032,15,[1.70878443],[0.03499625],[-0.05017473],[48.82764629]
e552,-5,[-0.1535988],[0.00736381],[-0.08521926],[-20.85861447]
e552,0,[0.42017196],[0.00523717],[-0.08971575],[80.22878161]
e552,5,[1.00165863],[0.0059603],[-0.09570779],[168.0551212]
e552,10,[1.43544571],[0.01275593],[-0.0787226],[112.53163579]
e552,15,[1.60939912],[0.0339035],[-0.04427239],[47.46999614]
k3,-5,[-0.00254457],[0.00560522],[-0.14652168],[-0.45396515]
k3,0,[0.58187159],[0.00757636],[-0.15211883],[76.80094971]
k3,5,[1.12758359],[0.01089399],[-0.14571038],[103.5051291]
k3,10,[1.59230834],[0.01605807],[-0.12354177],[99.15939094]
k3,15,[1.95196192],[0.02634786],[-0.09065696],[74.08425698]
rcsc2,-5,[-0.46929705],[0.00631465],[-0.02415856],[-74.31880076]
rcsc2,0,[0.07624473],[0.00571555],[-0.02094438],[13.33986609]
rcsc2,5,[0.6107446],[0.00660599],[-0.01570179],[92.45309525]
rcsc2,10,[1.16058617],[0.01018177],[-0.01509605],[113.98671278]
rcsc2,15,[1.61701726],[0.01633462],[-0.00026538],[98.99326267]
goe593,-5,[-0.06485032],[0.00627103],[-0.09861348],[-10.34126025]
goe593,0,[0.47203405],[0.00587121],[-0.09308675],[80.39803338]
goe593,5,[1.02514555],[0.00635482],[-0.09212295],[161.31778356]
goe593,10,[1.43152425],[0.01233617],[-0.06638673],[116.04286656]
goe593,15,[1.6831693],[0.02710254],[-0.03242219],[62.10375102]
n11,-5,[0.08471587],[0.00602595],[-0.10260058],[14.0584981]
n11,0,[0.64340442],[0.00609471],[-0.10215565],[105.56770456]
n11,5,[1.18448495],[0.00715845],[-0.09961129],[165.46671091]
n11,10,[1.62716476],[0.0144857],[-0.082584],[112.32900202]
n11,15,[1.87862373],[0.03111651],[-0.05174652],[60.3738615]
e201,-5,[-0.1892691],[0.00671141],[-0.07999263],[-28.20110171]
e201,0,[0.37081818],[0.0046877],[-0.08068198],[79.10452547]
e201,5,[0.90951548],[0.00625571],[-0.07746107],[145.38976432]
e201,10,[1.38044789],[0.01253739],[-0.0659844],[110.10651567]
e201,15,[1.65874769],[0.02620797],[-0.03406435],[63.29173874]
nl722362,-5,[-0.40170575],[0.00665678],[-0.02155347],[-60.34537793]
nl722362,0,[0.09412179],[0.00504427],[-0.00944435],[18.65914582]
nl722362,5,[0.60825831],[0.00610871],[-0.00106905],[99.57234555]
nl722362,10,[1.18912167],[0.01077271],[-0.01168061],[110.38274525]
nl722362,15,[1.58844554],[0.01862108],[0.00982335],[85.30361912]
marske7,-5,[-0.52288009],[0.00808621],[0.02106975],[-64.66319618]
marske7,0,[0.05254775],[0.00555695],[0.01633485],[9.45622699]
marske7,5,[0.60748818],[0.00559139],[0.01149716],[108.64700646]
marske7,10,[1.17836988],[0.01218728],[-0.00521367],[96.68849321]
marske7,15,[1.51672378],[0.02719853],[0.00183806],[55.7649171]
naca16015,-5,[-0.37212603],[0.00692696],[-0.03575666],[-53.72141211]
naca16015,0,[-5.27355937e-16],[0.00303364],[1.77635684e-16],[-1.73835996e-13]
naca16015,5,[0.37212603],[0.00692696],[0.03575666],[53.72141211]
naca16015,10,[0.85413052],[0.01088924],[0.04466261],[78.43801319]
naca16015,15,[1.24296832],[0.018099],[0.06363373],[68.67609006]
sd8020,-5,[-0.52324204],[0.00609698],[-0.00811433],[-85.81982995]
sd8020,0,[-1.2787687e-05],[0.00491199],[4.86139506e-06],[-0.00260336]
sd8020,5,[0.5232179],[0.00609677],[0.00812244],[85.81886193]
sd8020,10,[1.11459265],[0.01071876],[-0.00132697],[103.9852516]
sd8020,15,[1.51258851],[0.01864487],[0.02313537],[81.12626704]
goe630,-5,[0.22863912],[0.00682689],[-0.15055832],[33.49094122]
goe630,0,[0.7756499],[0.0068032],[-0.145796],[114.01255534]
goe630,5,[1.34544862],[0.0069661],[-0.15050927],[193.14240619]
goe630,10,[1.7903948],[0.01007906],[-0.13323977],[177.63512375]
goe630,15,[1.89811985],[0.03638325],[-0.08939772],[52.17016266]
e433,-5,[0.05740377],[0.00634924],[-0.13426491],[9.04105248]
e433,0,[0.62393561],[0.00399487],[-0.14084858],[156.18432263]
e433,5,[1.11757625],[0.00715197],[-0.13189853],[156.2612775]
e433,10,[1.45966963],[0.0151834],[-0.09819852],[96.13591375]
e433,15,[1.71874466],[0.03139532],[-0.06949489],[54.74525603]
c5e,-5,[-0.37679134],[0.00664075],[-0.0413249],[-56.73925553]
c5e,0,[0.20202286],[0.0056967],[-0.04455759],[35.46311288]
c5e,5,[0.76454283],[0.00732662],[-0.04613381],[104.35131011]
c5e,10,[1.30258251],[0.01066309],[-0.04316895],[122.15811578]
c5e,15,[1.75736698],[0.01772629],[-0.02994024],[99.13903243]
goe564,-5,[-0.18851055],[0.00555536],[-0.08272805],[-33.93307499]
goe564,0,[0.33204243],[0.00528106],[-0.07311485],[62.87421996]
goe564,5,[0.88207698],[0.00671225],[-0.07218678],[131.4130694]
goe564,10,[1.34108857],[0.01164412],[-0.05468954],[115.17301028]
goe564,15,[1.70800151],[0.02001873],[-0.02587685],[85.32015769]
e1214,-5,[-0.38438474],[0.00669819],[-0.02491636],[-57.38637379]
e1214,0,[0.19312871],[0.0064997],[-0.02201859],[29.71346642]
e1214,5,[0.76328023],[0.00719107],[-0.02038565],[106.14285318]
e1214,10,[1.3469896],[0.00829956],[-0.02583142],[162.29653446]
e1214,15,[1.78675898],[0.01340101],[-0.00979289],[133.33018353]
n63210,-5,[-0.38592221],[0.0065035],[-0.03942042],[-59.34067584]
n63210,0,[0.18775037],[0.00392599],[-0.04412161],[47.82244825]
n63210,5,[0.7434936],[0.0073319],[-0.04531842],[101.40535874]
n63210,10,[1.27441677],[0.0117274],[-0.04349706],[108.66997976]
n63210,15,[1.6951922],[0.0218097],[-0.02878247],[77.72654313]
l1003,-5,[-0.22376542],[0.00874307],[-0.03801653],[-25.59346758]
l1003,0,[0.37095429],[0.00727937],[-0.03770921],[50.95965949]
l1003,5,[0.95733557],[0.00714278],[-0.03968882],[134.02851056]
l1003,10,[1.55114553],[0.00780575],[-0.04320181],[198.71821982]
l1003,15,[1.32714977],[0.09713162],[-0.05976215],[13.66341623]
e49,-5,[0.5699283],[0.00594854],[-0.24638965],[95.80983771]
e49,0,[0.98173485],[0.00595499],[-0.21953775],[164.85926214]
e49,5,[1.35856724],[0.0141729],[-0.18587599],[95.85669692]
e49,10,[1.71234806],[0.02484223],[-0.1552901],[68.92892547]
e49,15,[1.75090074],[0.06634081],[-0.1041293],[26.39251382]
t16,-5,[0.37180018],[0.0121513],[-0.19290562],[30.59756711]
t16,0,[0.95367145],[0.00987242],[-0.2014429],[96.59956462]
t16,5,[1.52405193],[0.01150308],[-0.20602253],[132.49075122]
t16,10,[2.02682588],[0.01933074],[-0.20198446],[104.84985933]
t16,15,[2.23694176],[0.03933701],[-0.1541078],[56.86607961]
defcnd3,-5,[-0.26029908],[0.00681653],[-0.05225166],[-38.18643808]
defcnd3,0,[0.27028096],[0.0053373],[-0.04337537],[50.64004828]
defcnd3,5,[0.80775827],[0.00621287],[-0.03683344],[130.01367933]
defcnd3,10,[1.32854783],[0.0117479],[-0.03299346],[113.0880901]
defcnd3,15,[1.62004227],[0.02305783],[0.00327748],[70.25995651]
e662,-5,[0.07554948],[0.00637273],[-0.1414073],[11.85511631]
e662,0,[0.65297565],[0.00370559],[-0.15065501],[176.21346365]
e662,5,[1.11337678],[0.00718636],[-0.13592379],[154.92910792]
e662,10,[1.41403706],[0.01698218],[-0.09704751],[83.26594124]
e662,15,[1.69018904],[0.03344979],[-0.07238359],[50.52913683]
m21,-5,[-0.19369267],[0.00777135],[-0.04341507],[-24.92394348]
m21,0,[0.39055825],[0.00649062],[-0.04729828],[60.17274054]
m21,5,[0.96220762],[0.00574363],[-0.05168602],[167.52612758]
m21,10,[1.48514189],[0.01216043],[-0.05742074],[122.12905926]
m21,15,[1.67059441],[0.03614534],[-0.03196232],[46.21880008]
e377m,-5,[-0.01650733],[0.06607381],[-0.04720284],[-0.2498316]
e377m,0,[0.66605413],[0.00630468],[-0.11339612],[105.64447944]
e377m,5,[1.21178275],[0.00614466],[-0.10853287],[197.20895194]
e377m,10,[1.67888615],[0.01466434],[-0.09781967],[114.48768709]
e377m,15,[1.76944813],[0.05406922],[-0.07528715],[32.72560728]
goe311,-5,[-0.06953259],[0.00773896],[-0.08642453],[-8.98475024]
goe311,0,[0.50929828],[0.00586481],[-0.08942059],[86.83970567]
goe311,5,[1.07863431],[0.00665787],[-0.09281335],[162.00881378]
goe311,10,[1.56388582],[0.01315243],[-0.08724833],[118.90472246]
goe311,15,[1.84596043],[0.02861702],[-0.05979546],[64.50569138]
naca63a210,-5,[-0.37051535],[0.0063573],[-0.04098502],[-58.28187531]
naca63a210,0,[0.18269214],[0.00397517],[-0.04224171],[45.9583021]
naca63a210,5,[0.71930749],[0.00725178],[-0.04065863],[99.19041403]
naca63a210,10,[1.23852767],[0.01173936],[-0.03696828],[105.50214146]
naca63a210,15,[1.65374785],[0.02151571],[-0.0211761],[76.8623298]
goe380,-5,[0.01523207],[0.05314251],[-0.08741696],[0.28662687]
goe380,0,[0.52423879],[0.00608025],[-0.09075484],[86.21992407]
goe380,5,[1.09000046],[0.00630936],[-0.09469019],[172.75931732]
goe380,10,[1.49345317],[0.01512066],[-0.06958335],[98.76906012]
goe380,15,[1.48725172],[0.05995683],[-0.03466111],[24.80537573]
ma409sm,-5,[-0.10417577],[0.00534974],[-0.1096385],[-19.47305424]
ma409sm,0,[0.44847256],[0.00464215],[-0.10718499],[96.60885568]
ma409sm,5,[0.96538139],[0.00783131],[-0.10054486],[123.27204843]
ma409sm,10,[1.47164675],[0.01376798],[-0.09361078],[106.88911656]
ma409sm,15,[1.80555415],[0.02762396],[-0.06216781],[65.3618893]
nacam18,-5,[-0.3764753],[0.00776211],[-0.01978269],[-48.50165193]
nacam18,0,[0.202126],[0.00641085],[-0.02292389],[31.52871984]
nacam18,5,[0.75147163],[0.00498414],[-0.02196958],[150.7725865]
nacam18,10,[1.30797655],[0.01100488],[-0.03062692],[118.85419249]
nacam18,15,[1.62699157],[0.02396731],[-0.00899698],[67.88376899]
sd7080,-5,[-0.24922651],[0.00602922],[-0.06505236],[-41.33643095]
sd7080,0,[0.30725911],[0.00505033],[-0.06399624],[60.83937405]
sd7080,5,[0.86174704],[0.00618722],[-0.06306339],[139.27850525]
sd7080,10,[1.36775063],[0.01184483],[-0.0562962],[115.47234146]
sd7080,15,[1.74986933],[0.02166605],[-0.03407243],[80.76550866]
ls413,-5,[-0.08476394],[0.00621025],[-0.10398085],[-13.64904567]
ls413,0,[0.5280133],[0.00471176],[-0.11884988],[112.06280389]
ls413,5,[1.08333997],[0.00915981],[-0.1205268],[118.27103459]
ls413,10,[1.59887177],[0.01373966],[-0.1150115],[116.3691278]
ls413,15,[1.94580655],[0.0230817],[-0.08459664],[84.30085157]
fx73cl3152,-5,[0.35348481],[0.00761816],[-0.19142599],[46.40029177]
fx73cl3152,0,[0.94356299],[0.00737024],[-0.1929961],[128.02331804]
fx73cl3152,5,[1.51360515],[0.00805465],[-0.19512445],[187.916908]
fx73cl3152,10,[2.03267272],[0.01016062],[-0.19077475],[200.05403968]
fx73cl3152,15,[2.27147469],[0.02619828],[-0.15201999],[86.70319243]
goe614,-5,[0.13072012],[0.00752988],[-0.13956874],[17.36017629]
goe614,0,[0.64193949],[0.00672328],[-0.12758064],[95.48013947]
goe614,5,[1.10878759],[0.0077932],[-0.10924489],[142.27636182]
goe614,10,[1.65217993],[0.01113512],[-0.11530957],[148.37556543]
goe614,15,[1.93497181],[0.02513878],[-0.08864966],[76.9715817]
goe628,-5,[0.0534273],[0.00675255],[-0.11845285],[7.91216644]
goe628,0,[0.62229271],[0.0064673],[-0.1166189],[96.22144531]
goe628,5,[1.17695956],[0.00798855],[-0.11355395],[147.33075867]
goe628,10,[1.6655031],[0.01034186],[-0.10240395],[161.04483063]
goe628,15,[1.86378656],[0.0289844],[-0.06540305],[64.30309163]
goe419,-5,[-0.03922336],[0.00956964],[-0.10389336],[-4.09872807]
goe419,0,[0.48704729],[0.00492036],[-0.09621387],[98.98602539]
goe419,5,[0.95758429],[0.01262463],[-0.07832304],[75.85051043]
goe419,10,[1.11497786],[0.06884658],[-0.03913711],[16.19510911]
goe419,15,[0.96431972],[0.19873736],[-0.09363902],[4.85223164]
arad13,-5,[-0.24703543],[0.00807721],[-0.04652384],[-30.58425889]
arad13,0,[0.35948917],[0.00787807],[-0.05189174],[45.63164651]
arad13,5,[0.94963337],[0.00779514],[-0.05664758],[121.82376162]
arad13,10,[1.52547146],[0.01114493],[-0.06204487],[136.87576238]
arad13,15,[2.02409761],[0.01718026],[-0.05847157],[117.81533756]
e668,-5,[0.03203862],[0.00623614],[-0.13163409],[5.13757173]
e668,0,[0.60458764],[0.00384826],[-0.13865243],[157.10655036]
e668,5,[1.0924841],[0.00731192],[-0.1285962],[149.41129518]
e668,10,[1.43080041],[0.01570924],[-0.09483992],[91.08020782]
e668,15,[1.71806033],[0.03066562],[-0.06949798],[56.0256201]
naca654421a05,-5,[-0.25858847],[0.00750549],[-0.04948121],[-34.45324512]
naca654421a05,0,[0.33961886],[0.00456739],[-0.06350671],[74.35727064]
naca654421a05,5,[0.94569138],[0.00623133],[-0.07968116],[151.76397955]
naca654421a05,10,[1.23562863],[0.02388867],[-0.05820519],[51.72446028]
naca654421a05,15,[1.46032811],[0.0507408],[-0.04699484],[28.78015528]
ah94w301,-5,[-0.36506717],[0.00770144],[-0.07669591],[-47.40247309]
ah94w301,0,[0.29211459],[0.00729421],[-0.09833646],[40.04748213]
ah94w301,5,[0.94342412],[0.00773636],[-0.11581268],[121.94673717]
ah94w301,10,[1.5034154],[0.01136154],[-0.11801473],[132.32496968]
ah94w301,15,[1.53269346],[0.05024136],[-0.0733815],[30.50660534]
goe484,-5,[0.05474828],[0.00521691],[-0.1445051],[10.4943869]
goe484,0,[0.60362082],[0.00470517],[-0.14018296],[128.28896428]
goe484,5,[1.09179678],[0.0081883],[-0.1275628],[133.3362323]
goe484,10,[1.58334266],[0.01298299],[-0.11739144],[121.95513317]
goe484,15,[1.90461396],[0.02314579],[-0.08213694],[82.28770498]
chen,-5,[-0.13188281],[0.00984543],[-0.03591008],[-13.39533319]
chen,0,[0.4278809],[0.00742256],[-0.02799228],[57.64596717]
chen,5,[0.9724734],[0.00727017],[-0.02410194],[133.76219671]
chen,10,[1.55319761],[0.00776558],[-0.03070535],[200.01061565]
chen,15,[1.96332173],[0.01574221],[-0.02017277],[124.71701568]
goe685,-5,[-0.10468122],[0.00608585],[-0.10503376],[-17.20074428]
goe685,0,[0.46359639],[0.00571823],[-0.10421704],[81.07344034]
goe685,5,[1.02204414],[0.00693329],[-0.10114579],[147.41109539]
goe685,10,[1.49004843],[0.0123165],[-0.08596652],[120.97983231]
goe685,15,[1.79678161],[0.02313593],[-0.05339439],[77.66196341]
naca671215,-5,[-0.31395781],[0.00688064],[-0.05050804],[-45.62915798]
naca671215,0,[0.18754503],[0.00327649],[-0.04480156],[57.23967035]
naca671215,5,[0.58661283],[0.0081234],[-0.01633642],[72.21268494]
naca671215,10,[1.03333362],[0.01286133],[-0.00397354],[80.34420121]
naca671215,15,[1.40635144],[0.0211095],[0.01527799],[66.62174708]
n63012a,-5,[-0.55013939],[0.0069999],[0.00087591],[-78.59242021]
n63012a,0,[4.4408921e-16],[0.00409189],[-1.11022302e-16],[1.08529032e-13]
n63012a,5,[0.55013939],[0.0069999],[-0.00087591],[78.59242021]
n63012a,10,[1.0920284],[0.0108009],[-0.00133998],[101.10526996]
n63012a,15,[1.52580391],[0.01924691],[0.01209887],[79.27525765]
e432,-5,[0.01430059],[0.00715972],[-0.112668],[1.99736539]
e432,0,[0.59307647],[0.00460213],[-0.12047796],[128.8700116]
e432,5,[1.16188441],[0.00583972],[-0.12639702],[198.96243782]
e432,10,[1.534579],[0.01301472],[-0.09867551],[117.91104903]
e432,15,[1.68429284],[0.03806194],[-0.06515359],[44.2513688]
fx60126,-5,[-0.06386156],[0.00609953],[-0.11511539],[-10.46991658]
fx60126,0,[0.51662484],[0.00501415],[-0.11777946],[103.0334729]
fx60126,5,[1.07380599],[0.0077293],[-0.11694513],[138.92659517]
fx60126,10,[1.58496544],[0.01273318],[-0.11029173],[124.47518396]
fx60126,15,[1.86097725],[0.02738242],[-0.07599093],[67.962482]
clarym15,-5,[-0.15707583],[0.00669468],[-0.08130402],[-23.46277264]
clarym15,0,[0.40683845],[0.00606121],[-0.08088655],[67.12161875]
clarym15,5,[0.95117746],[0.00633521],[-0.07779647],[150.14136661]
clarym15,10,[1.45209499],[0.01032728],[-0.06981371],[140.6076258]
clarym15,15,[1.77501382],[0.0217092],[-0.04299182],[81.76321165]
e604,-5,[-0.01886206],[0.00704946],[-0.11475482],[-2.67567607]
e604,0,[0.56649131],[0.00457881],[-0.12644161],[123.7201274]
e604,5,[1.11795315],[0.00625106],[-0.1303068],[178.84215533]
e604,10,[1.37231994],[0.01766433],[-0.08574428],[77.68874892]
e604,15,[1.56680057],[0.04307293],[-0.06289984],[36.37552631]
ag55,-5,[-0.34145437],[0.00640673],[-0.0419616],[-53.29622862]
ag55,0,[0.21871198],[0.00508518],[-0.0409446],[43.00968719]
ag55,5,[0.76236474],[0.00621009],[-0.03856392],[122.76226107]
ag55,10,[1.29923065],[0.01162766],[-0.03689547],[111.73617135]
ag55,15,[1.7425934],[0.02319153],[-0.02654551],[75.13920622]
hor12,-5,[-0.11500448],[0.0070317],[-0.10378054],[-16.35515642]
hor12,0,[0.48740715],[0.00638565],[-0.10948534],[76.32853935]
hor12,5,[1.07874252],[0.00775165],[-0.11376962],[139.1629959]
hor12,10,[1.61972706],[0.01317778],[-0.11198788],[122.91351931]
hor12,15,[2.01847609],[0.02303258],[-0.09055174],[87.63568155]
e421,-5,[0.38054044],[0.00746707],[-0.18897123],[50.96251026]
e421,0,[0.94502011],[0.00685603],[-0.18707332],[137.83779317]
e421,5,[1.48294583],[0.00762812],[-0.18265809],[194.40508197]
e421,10,[1.96247884],[0.00970865],[-0.17036517],[202.13712376]
e421,15,[2.04905047],[0.0351139],[-0.11919879],[58.35440418]
e471,-5,[0.13901513],[0.00542556],[-0.16813668],[25.62227321]
e471,0,[0.69414137],[0.00420935],[-0.16740621],[164.90445353]
e471,5,[1.20292731],[0.00864406],[-0.15940769],[139.16232319]
e471,10,[1.67794027],[0.01546422],[-0.14743262],[108.50465198]
e471,15,[1.93302464],[0.03246076],[-0.10373895],[59.54958721]
sokolov,-5,[0.12625029],[0.00709922],[-0.1571362],[17.78367518]
sokolov,0,[0.71281099],[0.00582904],[-0.16188503],[122.28627746]
sokolov,5,[1.26315806],[0.00722472],[-0.16265949],[174.83822531]
sokolov,10,[1.75221043],[0.01495614],[-0.15503266],[117.15662106]
sokolov,15,[2.00001422],[0.03139419],[-0.11334094],[63.70649927]
sm701,-5,[0.00251443],[0.00668613],[-0.12351153],[0.37606695]
sm701,0,[0.5702072],[0.00503063],[-0.12820214],[113.34700735]
sm701,5,[1.10515623],[0.00785857],[-0.12533457],[140.63069119]
sm701,10,[1.55832786],[0.01214616],[-0.1092378],[128.29795676]
sm701,15,[1.80803071],[0.02660253],[-0.07295908],[67.96460509]
e817,-5,[-0.09090757],[0.00539634],[-0.13059752],[-16.84616015]
e817,0,[0.47958467],[0.00356809],[-0.13602923],[134.40930942]
e817,5,[0.96531535],[0.00934211],[-0.12348054],[103.32953188]
e817,10,[1.43634238],[0.01492423],[-0.11008715],[96.24232034]
e817,15,[1.7219591],[0.02982682],[-0.06990398],[57.73190829]
goe335,-5,[-0.04746582],[0.00710285],[-0.09963425],[-6.68264631]
goe335,0,[0.49614321],[0.00611474],[-0.09533468],[81.13883877]
goe335,5,[1.03844467],[0.00575625],[-0.09272175],[180.40304236]
goe335,10,[1.51162669],[0.01256378],[-0.08157704],[120.31621454]
goe335,15,[1.81075104],[0.02539464],[-0.04951848],[71.3044462]
rae2822,-5,[-0.34209349],[0.00600083],[-0.06250311],[-57.00773379]
rae2822,0,[0.22581338],[0.00377734],[-0.06810107],[59.78098885]
rae2822,5,[0.76013686],[0.00822031],[-0.06543921],[92.47054774]
rae2822,10,[1.2845315],[0.01270451],[-0.06200705],[101.10833417]
rae2822,15,[1.68036505],[0.02200052],[-0.03914944],[76.3784215]
e182,-5,[-0.51200292],[0.00705279],[0.00357331],[-72.59578079]
e182,0,[0.05004934],[0.004747],[0.00387333],[10.54336382]
e182,5,[0.64224157],[0.00679478],[-0.00628121],[94.51980339]
e182,10,[1.12142622],[0.01760063],[-1.11957857e-05],[63.71512724]
e182,15,[1.03905088],[0.10598839],[-0.01237637],[9.80344097]
naca747a415,-5,[-0.32955017],[0.00760568],[-0.02586426],[-43.32946158]
naca747a415,0,[0.24847502],[0.0048847],[-0.03226754],[50.86798541]
naca747a415,5,[0.81577671],[0.006754],[-0.04017275],[120.78426908]
naca747a415,10,[1.28367268],[0.0143828],[-0.0349351],[89.25052231]
naca747a415,15,[1.50472787],[0.03851342],[-0.01931984],[39.07021945]
mh26,-5,[-0.29514831],[0.00653472],[-0.05038017],[-45.16614726]
mh26,0,[0.16457719],[0.00333705],[-0.03304135],[49.31816624]
mh26,5,[0.61096225],[0.00642442],[-0.01155234],[95.09995512]
mh26,10,[1.08768258],[0.01103237],[-0.00178659],[98.59014409]
mh26,15,[1.49053379],[0.02038218],[0.01198965],[73.12927567]
usa98,-5,[0.23842452],[0.00700818],[-0.19790996],[34.02088584]
usa98,0,[0.83529596],[0.00659681],[-0.2013288],[126.62117231]
usa98,5,[1.39682959],[0.00788268],[-0.19966504],[177.20247947]
usa98,10,[1.79892014],[0.01436181],[-0.16837591],[125.25723088]
usa98,15,[2.02966709],[0.03234283],[-0.12643253],[62.75477438]
sc21010,-5,[0.27586455],[0.00463429],[-0.14867928],[59.52686788]
sc21010,0,[0.8455969],[0.00814559],[-0.15291617],[103.81038217]
sc21010,5,[1.39299825],[0.01172441],[-0.14970175],[118.81180889]
sc21010,10,[1.87404016],[0.01814715],[-0.13510369],[103.26911749]
sc21010,15,[2.11900652],[0.03356238],[-0.08752905],[63.13635744]
hq3012,-5,[-0.14057748],[0.00633952],[-0.08948077],[-22.17478484]
hq3012,0,[0.41919189],[0.00431162],[-0.0903246],[97.22368505]
hq3012,5,[0.9560894],[0.00706974],[-0.08734475],[135.2369089]
hq3012,10,[1.43753535],[0.01215583],[-0.07690867],[118.25894306]
hq3012,15,[1.74930997],[0.02303777],[-0.04636021],[75.93225276]
as5046,-5,[-0.33252735],[0.0075591],[-0.04458865],[-43.99034428]
as5046,0,[0.26354128],[0.00424417],[-0.05591084],[62.09491803]
as5046,5,[0.82914295],[0.00734987],[-0.05979839],[112.81051126]
as5046,10,[1.34979607],[0.01206976],[-0.0574381],[111.83284962]
as5046,15,[1.69947425],[0.0234708],[-0.03572626],[72.40802332]
prandtl-d-centerline,-5,[-0.50199513],[0.00797121],[-0.01433933],[-62.97599855]
prandtl-d-centerline,0,[0.06806505],[0.00581707],[-0.01511738],[11.70091746]
prandtl-d-centerline,5,[0.61843594],[0.00419163],[-0.01410507],[147.54063996]
prandtl-d-centerline,10,[1.22670281],[0.01137976],[-0.03418003],[107.79690682]
prandtl-d-centerline,15,[1.51456774],[0.02477001],[-0.00855656],[61.14522899]
waspsm,-5,[-0.2204847],[0.00630064],[-0.07014312],[-34.99401266]
waspsm,0,[0.3329774],[0.00561774],[-0.06694171],[59.27246132]
waspsm,5,[0.90328982],[0.00607136],[-0.07038025],[148.77885374]
waspsm,10,[1.39476329],[0.01189394],[-0.05917104],[117.26667772]
waspsm,15,[1.77327401],[0.0210037],[-0.03467043],[84.42673843]
e230,-5,[-0.71077792],[0.00771052],[0.04331486],[-92.18286541]
e230,0,[-0.17106799],[0.00471209],[0.0472264],[-36.30404986]
e230,5,[0.37060262],[0.00574048],[0.05056381],[64.55949188]
e230,10,[0.99027938],[0.01052058],[0.03303338],[94.1277997]
e230,15,[1.38415789],[0.02308948],[0.04821924],[59.94755415]
goe182,-5,[-0.0416589],[0.00695046],[-0.0995539],[-5.99369]
goe182,0,[0.54010503],[0.00661231],[-0.09976367],[81.68172416]
goe182,5,[1.09630054],[0.00614672],[-0.09738048],[178.35529512]
